Time	aextx	s2	s3	s4	s5	Vs2	Vs3	Vs4	Vs5	ACCs2	ACCs3	ACCs4	ACCs5	FC	Gap	Kh	Damping	M	K
0.0	0.0026796373775444	-0.0360099857255342	-0.0372046518806287	-0.0503033672108333	-0.0485878545014298	-0.0054477329203688	-0.0067540156788953	-0.000510200484819	-0.0052265630845901	0.0001188270840062	0.0001577885700086	3.99278491239304e-05	7.592445247481602e-05	0.0	0	0	0	0	0
0.0039	0.0031016082579158	-0.0355394332394361	-0.037312278383049	-0.0495489744277169	-0.0486448859875297	-0.0052724477546074	-0.0065221120951263	-0.0004510383049232	-0.0051137816271092	0.0001168564403549	0.0001551969521836	3.915175781131721e-05	7.513448703737212e-05	0.0	0	0	0	0	0
0.0078	0.0022177699386454	-0.0351064971685754	-0.0374153928103489	-0.0489047239482536	-0.0486967315105615	-0.0050974119802781	-0.0062904265160056	-0.0003920920731826	-0.0050009082874717	0.000114882267612	0.0001526109799307	3.837173553947724e-05	7.433612442980664e-05	0.0	0	0	0	0	0
0.0117	0.0035626425815505	-0.0347419464556581	-0.0375182740532007	-0.0484492541790675	-0.0487290656481649	-0.0049237281947473	-0.0060603459060092	-0.0003338209696298	-0.004888489154376	0.0001128873199906	0.0001500168471354	3.75773318257972e-05	7.351551442820112e-05	0.0	0	0	0	0	0
0.0156	0.0031567587369203	-0.0344558043226988	-0.0376313951750542	-0.0482108506301295	-0.0487296841614656	-0.0047524089638241	-0.0058331538657401	-0.00027663379075	-0.0047770479677576	0.0001108602263437	0.0001474054004686	3.676106633165421e-05	7.266280099972522e-05	0.0	0	0	0	0	0
0.0195	0.0035243894548697	-0.0342462302766067	-0.0377675280099547	-0.0481701219393585	-0.0486945910646838	-0.0045842561597969	-0.005609871940529	-0.0002208456171753	-0.004667011275967	0.0001087967032537	0.0001447731470364	3.591914225065736e-05	7.177308400426065e-05	0.0	0	0	0	0	0
0.0234	0.004093590156766	-0.0341137062618725	-0.0379374037187487	-0.0482782830501019	-0.0486316972492051	-0.0044197996970118	-0.0053911770541776	-0.0001666573658136	-0.0045586673229803	0.000106699377143	0.000142122111059	3.5051455820540554e-05	7.084649117209665e-05	0.0	0	0	0	0	0
0.0273	0.0042895801833867	-0.0340684151954224	-0.0381459437529446	-0.0484800703041915	-0.0485578411608317	-0.0042592954117886	-0.0051773952174977	-0.0001141581018463	-0.004452159390582	0.0001045764085983	0.0001394586995435	3.416101217719451e-05	6.988745559134337e-05	0.0	0	0	0	0	0
0.0312	0.0041258672526003	-0.0341250199054682	-0.0383872209168743	-0.0487302589571655	-0.0484894178188031	-0.0041027689369474	-0.004968555194383	-6.334499875537614e-05	-0.0043475064148341	0.0001024393062615	0.0001367919189044	3.325295363728231e-05	6.890342870123483e-05	0.0	0	0	0	0	0
0.0352	0.0034602567616733	-0.0342875728135877	-0.0386384052999428	-0.0489974562658681	-0.048433003972228	-0.0039500859544372	-0.0047644775822452	-1.415317503395334e-05	-0.0042446396395714	0.000100300431981	0.0001341313905793	3.233344548746254e-05	6.790334272201219e-05	0.0	0	0	0	0	0
0.0391	0.0028518968773324	-0.0345333618823692	-0.0388572190257408	-0.0492565054325889	-0.0483846024424605	-0.0038010287631708	-0.0045648739872324	3.351256528449989e-05	-0.0041434437259826	9.81707266467746e-05	0.0001314856146434	3.140865345643505e-05	6.689615279504705e-05	0.0	0	0	0	0	0
0.043	0.0029377907329115	-0.0348071496774345	-0.0389881363251109	-0.0494780854052595	-0.0483400427562919	-0.0036553630869667	-0.0043694354929885	7.975043701672032e-05	-0.0040437931499874	9.605809368107564e-05	0.0001288608082211	3.048399389331103e-05	6.588971844578895e-05	0.0	0	0	0	0	0
0.0469	0.0028705861686005	-0.0350342571578155	-0.0389788183509401	-0.0496259830176421	-0.0483081366519956	-0.0035128854230693	-0.0041778970348505	0.0001246426671751	-0.0039455785105274	9.396666794310228e-05	0.0001262604372244	2.956374983814556e-05	6.489014366257172e-05	0.0	0	0	0	0	0
0.0508	0.0034230496476415	-0.0351505249420743	-0.038802993358308	-0.0496664896472768	-0.0483132135112074	-0.0033734479841473	-0.0039900724549231	0.0001682460093834	-0.0038487211479984	9.189695524350508e-05	0.0001236853661529	2.8651037952418955e-05	6.39015514384554e-05	0.0	0	0	0	0	0
0.0547	0.0041812344346474	-0.0351344625781503	-0.0384810672213904	-0.0495843818204156	-0.0483815512314416	-0.0032369638010814	-0.0038058621619802	0.0002105908061059	-0.003753177284005	8.984665044429602e-05	0.0001211344489894	2.7748013740858636e-05	6.292618566990563e-05	0.0	0	0	0	0	0
