Time	aextx	s2	s3	s4	s5	Vs2	Vs3	Vs4	Vs5	ACCs2	ACCs3	ACCs4	ACCs5	FC	Gap	Kh	Damping	M	K
0.0	0.0003993978454479	-0.005902525088953	-0.0019941882200259	-0.0100168579074855	-0.0124041105404095	-0.0007871752606849	-6.301282104363885e-05	0.0001446254016787	-0.0078158991298462	3.991245318661694e-05	1.19645473257659e-05	0.0005828259418063	0.0008404374167947	0.0	0	0	0	0	0
0.0039	0.0004005755908219	-0.0049975736469478	-0.0013896235861021	-0.0098166211139497	-0.0128923792304038	-0.0007287525301996	-4.605558200961376e-05	0.0009953632766705	-0.006586053129783	3.8911150219052144e-05	1.1513945748186731e-05	0.000567965876849	0.0008210452159713	0.0	0	0	0	0	0
0.0078	-9.935153871142005e-07	-0.0042808565932523	-0.0009098299570265	-0.0096960721096832	-0.0134131159689645	-0.0006706213421668	-2.928811669646067e-05	0.0018415939638194	-0.0053613892477588	3.7915319791455725e-05	1.1061947265820155e-05	0.000553115871763	0.0008016601233876	0.0	0	0	0	0	0
0.0117	1.96461210710686e-06	-0.0038653934939639	-0.0006382084859439	-0.0097111731431748	-0.0139797121774036	-0.0006132868029099	-1.292438178913229e-05	0.0026757982839633	-0.0041519014598433	3.692166836406621e-05	1.0603575335219946e-05	0.0005381822738046	0.0007821537167714	0.0	0	0	0	0	0
0.0156	-0.0004035640462152	-0.0037500684276229	-0.0005985070839733	-0.0098689504342124	-0.0145694721188655	-0.0005571917774599	2.855958519392392e-06	0.003491397445596	-0.0029664340450528	3.592772563506604e-05	1.013531268759662e-05	0.0005231016242521	0.0007624394732521	0.0	0	0	0	0	0
0.0195	5.825477687806675e-06	-0.0038354484545581	-0.0007514943300663	-0.0101338559783989	-0.0151226570793329	-0.0005026732245405	1.792066316454139e-05	0.0042833890304574	-0.0018117820775708	3.493201167666677e-05	9.65553474728828e-06	0.0005078473812349	0.0007424818026823	0.0	0	0	0	0	0
0.0234	-8.736238013127076e-06	-0.003979176720377	-0.0010099789922577	-0.0104489556685534	-0.0155589503058149	-0.0004499431016053	3.21883712316595e-05	0.0050486210828823	-0.00069228273079	3.393398960167751e-05	9.164613535859893e-06	0.0004924296995711	0.0007222953240228	0.0	0	0	0	0	0
0.0273	1.2236138836828913e-05	-0.0040605858705376	-0.0012672313682138	-0.0107585180831548	-0.0158064527215068	-0.0003990930958274	4.562376905842964e-05	0.0057857189316903	0.0003901172045364	3.2933842851147564e-05	8.66471084560949e-06	0.000476889292559	0.0007019358648135	0.0	0	0	0	0	0
0.0312	-0.0009162200907507	-0.0040245604179276	-0.0014304890024895	-0.0110218908852132	-0.0158312643689658	-0.0003501173682424	5.822740596662124e-05	0.0064947517293727	0.0014354324820577	3.193214343903598e-05	8.159325849302479e-06	0.0004612872916141	0.0006814859693122	0.0	0	0	0	0	0
0.0352	2.05444302418994e-05	-0.0038883551529489	-0.0014482574906253	-0.0112159071616452	-0.015654013093008	-0.0003029449577144	7.00234227310749e-05	0.0071767595317446	0.0024450121266798	3.0929501934630423e-05	7.65269966625755e-06	0.0004456934918907	0.0006610383873105	0.0	0	0	0	0	0
